"Question - max 120 characters","Answer 1 - max 75 characters","Answer 2 - max 75 characters","Answer 3 - max 75 characters","Answer 4 - max 75 characters","Time limit (sec) – 5, 10, 20, 30, 60, 90, 120, or 240 secs","Correct answer(s) - choose at least one"
"Què és l’atmosfera?","Una capa de gasos que envolta la Terra.","Una capa de núvols.","Una capa de vapor d'aigua.","Una capa d'oxigen.","60","1"
"Quins són els principals gasos que componen l’atmosfera?","Oxigen i nitrogen.","Oxigen i hidrogen.","Nitrogen i diòxid de carboni.","Hidrogen i argó.","60","1"
"Per què és important l’atmosfera per a la vida a la Terra?","Proporciona oxigen per respirar.","Manté la temperatura moderada.","Filtra radiació perjudicial.","Permet la circulació de l'aire.","60","1,2,3"
"Quina és la capa inferior de l’atmosfera?","Troposfera.","Estratosfera.","Mesosfera.","Termosfera.","60","1"
"Per què és important la troposfera?","És la capa on es produeixen els fenòmens meteorològics.","Conté la major part de l'oxigen.","És la capa més alta.","Només conté vapor d'aigua.","60","1"
"Quina capa de l’atmosfera conté l’ozó?","Estratosfera.","Mesosfera.","Troposfera.","Termosfera.","60","1"
"Quin paper té l’ozó en la protecció de la vida a la Terra?","Filtra la radiació ultraviolada.","Augmenta la temperatura.","Genera oxigen.","Genera oxidants.","60","1"
"Com ajuda l’atmosfera a regular la temperatura terrestre?","Reparteix la calor uniformement.","Refreda la superfície terrestre.","Absorbe l'energia solar.","Protegeix de vents extrems.","60","1"
"Com evita l’atmosfera que la Terra es refrede massa durant la nit?","Manté la calor de dia.","Evita la pèrdua excessiva de calor.","Reflexiona la radiació de la lluna.","Absorbe la llum solar.","60","2"
"De quina manera facilita l’atmosfera la circulació de la calor pel planeta?","Distribueix la calor a través dels vents.","Reflexiona els rajos solars.","Evapora l'aigua.","Genera núvols que regulen la temperatura.","60","1"
"Què és el temps atmosfèric?","Conjunt de fenòmens meteorològics en un lloc determinat.","Estat mitjà del clima.","Projecció del clima a llarg termini.","Fenòmens de l'ozó.","60","1"
"Per què diem que el temps atmosfèric és canviant?","Perquè varia constantment.","Perquè depèn de l'humitat.","Perquè no es pot predir.","Perquè és global.","60","1"
