Test con opciones variables
¿Cuál es la capital de Francia?,París,Londres,Berlín,Roma,Madrid,,0
¿Cuántos continentes hay?,5,6,7,4,3,,2
¿Quién escribió 'Cien años de soledad'?,Gabriel García Márquez,Mario Vargas Llosa,Julio Cortázar,Isabel Allende,Carlos Fuentes,0
¿Cuál es el metal más ligero?,Litio,Hierro,Plomo,Aluminio,Magnesio,Cobre,0
¿Qué planeta es el más grande?,Júpiter,Saturno,Marte,Tierra,Venus,Urano,0
¿En qué año llegó el hombre a la luna?,1965,1969,1972,1970,1968,1971,1
¿Cuál es el idioma más hablado?,Chino mandarín,Inglés,Español,Hindi,Árabe,Ruso,0
¿Qué animal es el más rápido?,Guepardo,León,Tigre,Antílope,Halcón peregrino,Leopardo,4
¿Cuál es el océano más grande?,Atlántico,Pacífico,Índico,Ártico,Antártico,Caribe,1
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Salvador Dalí,Claude Monet,Frida Kahlo,Diego Rivera,0
¿Cuál es el país más poblado?,China,India,Estados Unidos,Indonesia,Brasil,Rusia,0
¿Qué gas respiramos principalmente?,Oxígeno,Nitrógeno,CO2,Helio,Argón,Neón,1
¿Cuál es el mamífero más grande?,Ballena azul,Elefante,Rinoceronte,Hipopotamo,Orca,Jirafa,0
¿Qué instrumento tiene teclas?,Guitarra,Piano,Violín,Flauta,Órgano,Clavicordio,1
¿Cuál es el río más largo?,Nilo,Amazonas,Misisipi,Yangtze,Danubio,Volga,1
